| ئاخفتنخوەش | وەسف (هەڤالناڤ) | ئەو کەسێ کو پەیڤێن وی وەک هنگیڤی نە. |
| نەرویج | وەلات | وەلاتێ دەریا و چیا و دارستانێن کەسک. |
| ھندستان | وەلات | وەلاتێ بەهاراتان و فرەڕەنگییا ئایین و نەتەوەیان. |
| ھۆلەندا | وەلات | وەلاتێ گولان و ئاشێن بای. |
| یۆنان | وەلات | وەلاتێ دیرۆک و فەلسەفەیێ. |
| ئەژداد | خێزان | باب و باپیرێن کەڤن یێن خێزانێ د مێژوویێ دا. |
| بابک | خێزان | لقێ بچویکتر ژ عەشیرەتێ. |
| برا | خێزان | کەسەکێ نێزیک و پشتبەستن د خێزانێدا. 
| بویک | خێزان | ژنا نوی ڤەگوهاستی. |
| پسمام | خێزان | کوڕێ مامێ تە. |
| خالەت | خێزان | خوشکا دایکا تە. |
| خارزا | خێزان | کوڕ یان کچا خوشکا مرۆڤی. |
| خوشک | خێزان | ھەڤال و دلۆڤانییا خێزانێ. |
| داپیر | خێزان | دایکا بابێ یان دایکا دایکێ. |
| دایک | خێزان | کانییا دلۆڤانیێ و بەهەشت ل بن پێیێن وێ یە. |
| دش | خێزان | خوشکا مێری بۆ ژنێ. |
| دەیکوباب | خێزان | گرنگترین دوو کەس د ژیانا ھەر مرۆڤەکێدا |
| زارۆک | خێزان | بچویکێن د ناڤ مالێ دا کو کەیفخوەشییێ ددەنە خێزانێ. |
| زڕبرا | خێزان | برایێ مرۆڤی یێ کو ژ دایکەکا دی یان بابەکێ دی بیت. |
| زڕخوشک | خێزان | خوشکا مرۆڤی یا کو  ژ دایکەکا دی یان بابەکێ دی بیت. |
| زڕکچ | خێزان | کچا ھەڤژینێ/ا مرۆڤی ژ ھەڤژینەکێ دیتر. |
| زڕکوڕ | خێزان | کوڕێ ھەڤژینێ/ا مرۆڤی ژ ھەڤژینەکێ دیتر. |
| ژن | خێزان | هەڤژینا زەلامی. |
| عەشیرەت | خێزان | کۆمەکا مەزن یا بنەماڵان کو ئێگرتنەکا خوینێ ھەیە. |
| کچ | خێزان | بەرهەمێ مێ یێ دایک و بابان. |
| کچخال | خێزان | کچا خالا مرۆڤی. |
| کچخالەت | خێزان | کچا خالەتا مرۆڤی. |
| کچمەت | خێزان | کچا مەتا مرۆڤی. |
| کەسوکار | خێزان | پەیڤەکا گشتییە بۆ ھەمی خزم و دۆستێن نێزیک یێن مرۆڤی. |
| کوڕ | خێزان | بەرهەمێ نێر یێ دایک و بابان. |
| کوڕخال | خێزان | کوڕێ خالێ مرۆڤی. |
| کوڕخالەت | خێزان | کوڕێ خالەتا مرۆڤی. |
| کوڕمەت | خێزان | کوڕێ مەتا مرۆڤی. |
| مێر | خێزان | هەڤژینێ ژنێ. |
| نفش | خێزان | نڤشێ نوی یێ زارۆکان کو ل شوینا یێن کەڤن dگرن. |
| نەڤیچیچڕک | خێزان | زارۆکێ نەڤییێ مرۆڤی. |
| نۆبەر | خێزان | زارۆکێ ئێکێ یێ خێزانێ یێ کو یەکەم جار کەیفێ دئێخیتە مالێ. |
| ھەڤپشک | خێزان | کەسێ کو ژیانێ ب درێژییا خوە دگەل تە پێکڤە دبەت. |
| ھەڤژین | خێزان | کەسێ/ا کو ژیانا خوە دگەل تە پێک دئینیت. |
| ھەڤلنگ | خێزان | مێرێن دوو خوشکان. |
| ھەوی | خێزان | دوو ژنێن کو ئێک زەلام ھەبیت. |
| خال | پەیڤێن گشتی | نیشانەکا سروشتی یا بچویک کو ل سەر دێمێ مرۆڤی پەیدا دبیت و وەکو هێمایەکا جوانیێ دهێتە دیتن.  |
| خال | پەیڤێن گشتی | ئاماژەیە بۆ نیشانەکا نڤیسینێ د ڕێزمانێ دا. |
| خال | جھ |  جهەکێ دیارکری وەکو بازگەهـ و جهێ پشکنینێ. |
| خال | پەیڤێن گشتی | بۆ هژمارا سەرکەفتنێ د ناڤ یارییان دا دهێتە بکارئینان . |
| ئیپراخ | خوارن | ب بەلگێن مێوێ دھێتە دروستکرن |
| برنج | خوارن | سەرەکیترین خوارنە ل سەر مێزەیا کوردی |
| پەنیر | خوارن | بەرهەمەکێ شیری یێ گرنگە بۆ تێشتێ |
| تەحین | خوارن | ژ کونجییان دهێتە چێکرن و دگەل دۆشاڤێ دهێتە خوارن |
| دۆڵمە | خوارن | خوارنەکا ب تام و مشەیە کو ل دەڤەرێن مە دھێتە چێکرن |
| زەیتوون | خوارن | دارەکا پیرۆزە، بەرهەمێ وێ بۆ تێشتێ دهێتە بکارئینان |
| زەلاتە | زەرزەوات | تێکەلەیەکا زەرزەواتانە کو دگەل خوارنێ دهێتە خوارن |
| شۆربە | خوارن | خوارنەکا شلە کو زێدەتر د دەمێ فتارێ یان نەخۆشیێ دا دهێتە خوارن |
| فەستفوود | خوارن | خوارنەکا بلەز و بتامە کو مرۆڤ گەلەک جاران ژ دەرڤە دخۆت |
| کوتلک | خوارن | خوارنەکا ناڤودەنگا کوردی یە کو ژ گۆشت و برنجی دهێتە چێکرن |
| کەباب | خوارن | گۆشتێ هاتیە قیمەکرن و ل سەر شیشان دهێتە برژاندن |
| ماست | خوارن | بەرهەمەکێ سپی یێ شیری یە کو دگەل خوارنێ دهێتە خوارن |
| نان | خوارن | سەرەکیترین پێکهاتەیێ هەر دانەکێ خوارنێ یە |
| نۆک | خوارن | جۆرەکێ پاقلەمەنییانە کو دگەل برنجی یان د ناڤ شۆربێ دا دهێتە چێکرن |
| نیسک | خوارن | جۆرەکێ پاقلەمەنییانە کو شۆربەکا تژی ئاسن ژێ دهێتە چێکرن |
| نیڤشک | خوارن | ژ شیری دهێتە گرتن و بۆ تێشتێ و چێکرنا خوارنێ دهێتە بکارئینان |
| هێک | خوارن | بەرهەمەکێ مریشکێ یە کو تژی پرۆتینە |
| فستەق | چەرەزات | جۆرەکێ چەرەزاتانە کو د ناڤ قەپغەکێ ڕەق دایە |
| ساڤاڕ | خوارن | ژ گەنمی دهێتە دروستکرن و دگەل گۆشتی دهێتە خوارن |
| گەنم | خوارن | ژێدەرێ سەرەکی یێ ئاردی یە کو نان ژێ دهێتە دروستکرن |
| لەفە | خوارن | خوارنەکا بلەزە کو د ناڤ نانی دا دهێتە پێچان |
| بەنیشت | خوارن | مرۆڤ دکەتە د دەڤێ خوە دا و دجویت. |
| ئەنەناس | میوە | فێقییەکێ شرین و ئاڤدارە، پیستێ وێ یێ ڕەقە، و بەلگێن وێ وەکو تاجەکێ ل سەرن. |
| پرتەقال | میوە | فێقییەکێ زڤستانێ یە کو تژی ڤیتامینە سییە. |
| خۆخ | میوە | میوەیەکێ هاڤینێ یێ ب تامە، پیستەکێ نەرم هەیە |
| زەبەش | میوە | میوەیەکێ مەزن یێ هاڤینێ یە، ژ دەرڤە کەسکە و ژ ناڤدا سۆرە |
| سێڤ | میوە | ميوەیەکێ گڕۆڤڕ و ب تامە |
| قەسپ | میوە | میوەیەکێ شرینە کو ل جهێن گەرم شین دبیت. |
| قەیسی | میوە | میوەیەکێ زەر یێ شرینە، حشک ژی دهێتە خوارن |
| کەزان | میوە | فێقییەکێ بچویکێ چیایی یە، پتریا جاران ڕەنگێ وێ کەسکە و ناڤکەکا ڕەق هەیە. |
| کیڤی | میوە | میوەیەکێ کەسک و تڕشە، ژ دەرڤە قەهوەیی یە |
| گویز | چەرەزات | جۆرەکێ چەرەزاتانە کو بەرگەکێ ڕەق هەیە و کاکلا وێ وەکی مێشکێ مرۆڤی یە. |
| لالەنگی | میوە | میوەیەکێ زڤستانێ یە و ب ساناهی تیڤلێ وێ دهێتەڕاکرن. |
| لیمۆن | میوە | میوەیەکێ زەر و ترشە کو بۆ خوارن و شەربەتێ یا باشە. |
| مشمش | میوە | میوەیەکێ هاڤینێ یێ مزە کو ناڤکەکا ڕەق هەیە. |
| مۆز | میوە | ميوەیەکێ زەر و خوەش کو ل وەلاتێن گەرم دھێت چاندن. |
| ھێژیر | میوە | میوەیەکێ شرینە کو قورئانێدا ناڤێ وێ هاتیە و حشک ژی دهێتە خوارن |
| ئاخرەت | پەیڤێن گشتی | جهێ دوماهیێ یە، هەمی دێ چنە وێرێ و چ کەس ژێ نازڤڕن. |
| ئاریشە | پەیڤێن گشتی | چ کەس حەز ژ من ناکەن، لێ ئەز خوە دئێخمە د ناڤ ژیانا هەمیاندا. |
 بەخشیش | گشتی | پارەیەکێ زێدەیە تو ددەیە کرێکاری. |
| بێخیرەتی | گشتی | ئەو سیفەتە دەمێ مرۆڤ خوە ل بەر باج و ئەرکان نەگریت و ترسەک د دلی دا هەبیت. |
| بەنج | گشتی | ماددەیەکا کیمیاوی یە بۆ کێمکرنا هەستێ ئێشێ دهێتە بکارئینان . |
| ئاگردان | کەلوپەل | جهێ کو ئەم ئاگری لێ ھل دکەین |
| ئۆتی | ئامیرە | ئامیرێ گەرم یێ ڕاستکرنا قورمچینا جلان |
| ئیسفەنج | کەلوپەل | ئەز ھەردەم تژی ئاڤم, لێ جھێ من یێ ھشکە. |
| باوەشین | کەلوپەل | ئامرازەکێ دەستی یە بۆ فێنککرنا هەوای د ڕۆژێن گەرم دا. |
| بتڵ | کەلوپەل | قوتییەکا پلاستیکی یە بۆ هەلگرتنا ئاڤێ یان زەیتێ دهێتە بکارئینان. |
| بزمار | کەلوپەل | پارچ ئاسنێ تیژ کو دوو تشتان پێکڤە دگرێددەت |
| بەتانی | کەلوپەل | داپۆشەرا گەرم یا دەمێ نڤستنێ |
| بەڕاد | ئامیرە | ئامیرێ کارەبایی یە بۆ سارکرن و هەلگرتنا خوارنێ دا کو تێک نەچیت. |
| بۆیاخ | کەلوپەل | کەرەستەیەکێ ڕەنگاوڕەنگە بۆ ڕەنگکرنا دیوار و کەلوپەلان. |
| پلاک | کەلوپەل | ئەو بەشێ وایەرێ یە کو دچیتە د ناڤ کارەبێ دا بۆ وەرگرتنا وزەیێ. |
| پەرداخ | کەلوپەل | کەرەستەیێ شیشەیی بۆ ڤەخوارنا ئاڤێ |
| پەردە | کەلوپەل | قوماشێ ھەلاویستی یێ پێشیا پەنجەرێ |
| پەنجەر | کەلوپەل | کونەکا دیوارێ خانی کو بۆ دیتنا دەرڤە و هاتنا هەوای بەرهەڤ کریە |
| تابلۆ | کەلوپەل | وێنەیێ ب چارچۆڤە یێ خەملاندنا دیوارێ مالێ |
| تاوە | کەلوپەل | ئامانێ پەحن بۆ سۆرکرنا خوارنێ د ناڤ ڕۆنیدا |
| تڤەنگ | کەلوپەل | تەنیرا مەتێ، پەلەک کەتێ، دەستێ کەسێ نەگەھشتێ. |
| تەختک | کەلوپەل | پارچەیەکا داری یە کو زەرزەوات و گۆشت ل سەر دهێتە هویری کرن. |
| تەڕازی | کەلوپەل | ماھینا ب شەش ڕکێبە، کوریەکا ب نیڤەکا پشتێڤە. |
| تەسبیح | کەلوپەل | کۆمەکا مۆرکانە ب دەزیەکێ ڤە بۆ زکرکرن و ژمارتنێ بکار دهێن. |
| تەلەفۆن | ئامیرە | دەنگێ من یێ ھەی, لێ زمانێ من نینە. |
| تەلەڤزیۆن | ئامیرە | شاشەیا مەزن یا دیتنا کەناڵ و فلمان |
| تەڵھە | کەلوپەل | چوومە د نیڤا ڕێدا، عەجێب یەکا د ڕێدا، چرک، خوە ل باقێدا. |
| تەنیر | کەلوپەل | ب سێ لنگە، بارێ ژنکە. |
| تۆر | کەلوپەل | دەزگەکێ ڕێسایە بۆ گرتنا ماسییان یان باڵندەیان بکار دهێت. |
| جلشۆ | ئامیرە | ئامیرێ کارەبایی یێ پاقژکرنا جلاوبەرگان |
| چارچەڤ | کەلوپەل | قوماشەکێ تەنک و بەرفرەهە ل سەر تەختی یان بالیفان دهێتە ڕاخستن. |
| چەتەڵ | کەلوپەل | کەرەستەیێ ب ددان بۆ گرتنا خوارنێ |
| چەقماق | کەلوپەل | ئامرازێ بچویک یێ بەردەست کو ئاگری دروست دکەت |
| چەکۆچ | کەلوپەل | بۆ کوتانا بزماران دھێتە بکارهینان. |
| حەلاقە | کەلوپەل | ئاسن یان پلاستیکێ ھەلاویستنا جلان |
| خاولی | کەلوپەل | قوماشێ نەرم یێ زوھاکرنا لەشی |
| خڕخال | کەلوپەل | جوانکارییەکا کەڤنارە کو ل گویزەکێن پێیان دهێتە کرن. |
| خوەدیک | کەلوپەل | ئەو شیشەیا کو وێنەیێ تە ڤەدگێڕیت |
| درێزیک | کەلوپەل | چاڤەکێ مەزن یێ ب منڤە، لێ ئەز چ نابینم. |
| دەرگەھ | کەلوپەل | پشکا ڤەکری یا خانی کو مرۆڤ تێدا دەرباز دبیت |
| دەرنەفیس | کەلوپەل | بۆ ڤەکرن و گرتنا بزماران دھێتە بکارھینان |
| دەفتەر | کەلوپەل | کۆما کاغەزێن ڤالایە بۆ نڤێسینێ |
| دەمژمێر | کەلوپەل | سێ تاسن, سێ بنتاسن, سێ نەینیکن, سێ ڕەقاسن. |
| زەنگل | کەلوپەل | ئاسنەکێ بچویکە کو د دەمێ هەژاندنێ دا دەنگەکێ زراڤ ژێ دهێت. |
| ڕاستەهێل | کەلوپەل | ئامرازەکە بۆ کێشانا خەتێن ڕاست و پیڤانا درێژییێ بکار دهێت. |
| ڕەندەک | کەلوپەل | پارچ ئاسنێ کونکون یێ ھویرکرنا خوارنێ |
| ڕۆژنامە | کەلوپەل | بەلاڤۆکا کاغەزی یا کو نووچەیان دگەھینیت |
| ڕیدۆشەک | کەلوپەل | ئەو پارچە قوماشەیە کو ژ دەرڤەی دۆشەک و بالیفێ پێ دپێچن. |
| ژێبرک | کەلوپەل | tشتەکێ بچویکە کو خەلەتیێن قەلەمێ ڕساس پێ دهێنە ژێبرن. |
| سپلێت | ئامیرە | ئامیرێ ھەلاویستی یێ سارکرن و گەرمکرنێ |
| ستڵک | کەلوپەل | ئامانێ کویر یێ ھەلگرتنا ئاڤێ یان پاقژکرنێ |
| ستێنگ | کەلوپەل | ھەسپێ سۆرە، یێ ناڤچاڤ بەلەکە. |
| سندۆق | کەلوپەل | قوتییەکا مەزنە ژ دار یان ئاسنی کو کەلوپەل tێدا دپارێزن. |
| سەلاجە | ئامیرە | ئامیرێ کارەبایی بۆ پاراستنا خوارنێ |
| سەڵک | کەلوپەل | جھێ کۆمکرنا جلێن پیس یان گلێشی |
| سەماوەر | ئامیرە | ئامیرەکێ مەزنە ئاڤ tێدا دهێتە کەلاندن بۆ چێکرنا چایێ. |
| سوجادە | کەلوپەل | پاڕچەکا قوماشێ یە کو ل دەمێ نڤێژکرنێ ل سەر ئەردی دهێتە ڕاخستن. |
| سینیک | کەلوپەل | ئامانێ پەحن بۆ ھەلگرتنا ئامان و پەرداخان |
| سێھوانە | کەلوپەل | سیبەرەکا گەڕۆکە بۆ پاراستن ژ بارانێ دھێتەبکارھینان |
| شامپۆ | کەلوپەل | شلەیێ بێھنخۆش یێ پاقژکرنا پرچێ |
| شخارتە | کەلوپەل | دارێن بچویک یێن ئاگرکرنێ د پاکیتێدا |
| شوشە | کەلوپەل | کەرەستەیەکێ شەفافە کو ئامان و پەنجەرە ژێ دهێنە چێکرن. |
| شیژن | کەلوپەل | دەرزییەکا زۆر ستویرە کو بۆ دروینا تەلیس و pێلاڤان بکار دهێت. |
| شیش | کەلوپەل | پارچەیەکا زراڤا ئاسنی یە کو گۆشت پێڤە دهێتە کرن بۆ برژاندنێ. |
| عەتر | کەلوپەل | شلەیێ بێھنخوەش کو کەساتییەکا جوان ددەتە تە |
| فنجان | کەلوپەل | ئامانێ بچویک یێ ڤەخوارنا قەھوێ |
| قفڵ | کەلوپەل | پاسەوانێ ئاسنی یێ دەرگەهان کو تەنێ ب کلیلێ ڤەدبیت |
| قەپاخ | کەلوپەل | ئەو پارچەیا کو مەنجەل پێ دھێتە داپۆشین |
| قەنەفە | کەلوپەل | جھێ ڕوونشتنێ |
| قۆری | کەلوپەل | ئامانێ تایبەت یێ چێکرنا چایێ |
| کلیل | کەلوپەل | پارچەیا ئاسنی یا ڤەکرنا دەرگەھان |
| کلێنس | کەلوپەل | کاغەزا نەرم یا پاقژکرنا دەست و چاڤان |
| کیس | کەلوپەل | تشتەکێ نایلۆنی یان قوماشی یە بۆ هەلگرتنا کەلوپەلێن بازاڕی. |
| گلۆپ | ئامیرە | ئامیرەکێ بچویکە ب کارەبێ ڕۆناهییێ ددەتە ژوورێ و تارییێ لاددەت. |
| گوھارک | کەلوپەل | مادەیێ زێڕی یان زیڤی بۆ گوھان |
| گویزان | کەلوپەل | ماھینا مەلای، بەردا چیایی، زلکەک نەھێلای. |
| گۆستیلک | کەلوپەل | بازنێ بچویک یێ خەملاندنا tبلێن دەستی |
| گێزک | کەلوپەل | کەرەستەیێ دەستی یێ پاقژکرنێ |
| لایت | کەلوپەل | ڕۆناھیدەرێ دەستی کو د تارییێ دا ڕێیا تە ڕوون دکەت |
| لیفک | کەلوپەل | تشتەکێ نەرم یان زڤرە ل دەمێ سەرشویشتنێ دهێتە بکارهینان. |
| مەڕک | کەلوپەل | ئامرازەکە کو گلێش و خولییێ پێ کۆم دکەن پشتی ماڵکرنێ. |
| مەعجوین | کەلوپەل | ھەڤالێ فڕچەی بۆ پاقژیا ناڤ دەڤی |
| مەقەس | کەلوپەل | دوو دەڤێن تیژ بۆ بڕینا پرچ و قوماشی |
| مەنقەل | کەلوپەل | ئامانەکا ئاسنی یە ڕەژی tێدا دهێتە سۆتن بۆ برژاندنا گۆشتی. |
| مووخەل | کەلوپەل | دخۆت و ب سەرێ خوە وەردکەت. |
| مۆبایل | ئامیرە | ئامیرەکێ پەیوەندیێ یێ زیرەکە کو ب دەستی دهێتە هەلگرتن. |
| مێزە | کەلوپەل | تشتەکێ چوار پێ یە خوارن ل سەر دهێتە دانان |
| نەینیک | کەلوپەل | شوشەیەکە کو مرۆڤ دشێت وێنە و ڕوویێ خوە tێدا ببینیت. |
| نینۆکبڕ | کەلوپەل | ئامرازێ بڕینا نینۆکان ب شێوەیەکێ پاقژ |
| ھاون | کەلوپەل | ئامانێ کوتانا بھارات و چەرەزاتان |
| ھریی | کەلوپەل | پرچا پەزی یە کو پشتی بڕینێ دهێتە شۆشتن و بۆ تەڤنی بکار دهێت. |
| وایەرە | کەلوپەل | تێلەکێ پێکڤەگرێدایە کو کارەبێ دگەهینیتە ئامیران. |
| ئاخينک | ناڤێ مرۆڤان | ناڤەکێ کوردییە ب ڕامانا ئاخین و حەسرەت. |
| ئادار | ناڤێ مرۆڤان | مەها سێیە ژ سالێ کو نەورۆز و بهار دکەڤیتە تێدا. |
| ئارا | ناڤێ مرۆڤان | ب ڕامانا ئارایشت و جوانی. |
| ئاراد | ناڤێ مرۆڤان | ناڤەکێ کوردییە کو ڕامانا پاقژی و پاکیێ ددەت. |
| ئاراس | ناڤێ مرۆڤان | ناڤێ ڕووبارەکێ یە ل باکوورێ کوردستانێ. |
| ئارام | ناڤێ مرۆڤان | کەسێ کو هێدی و بێدەنگ و تەنا بیت. |
| ئارتین | ناڤێ مرۆڤان | ب ڕامانا گەرماتی و ئاگرێ پیرۆز دهێت. |
| ئارڤین | ناڤێ مرۆڤان | کەسێ کو تاقیکرن و ئەزموون هەیە. |
| ئاری | ناڤێ مرۆڤان | ژ نەتەوەیێ ئاری و ناڤەکێ ڕەسەنێ کوردییە. |
| ئاریا | ناڤێ مرۆڤان | کەسێ کو ژ نەژادێ ئارییانە و ڕەسەنە. |
| ئاریان | ناڤێ مرۆڤان | کۆمەلا خەلکێ ئاری یان ئەوێن ژ ڕەچەلەکێ ئاری. |
| ئارین | ناڤێ مرۆڤان | تشتێ کو ئاگرین یان گەرم بیت. |
| ئازاد | ناڤێ مرۆڤان | کەسێ کو ژێر دەست نەبیت و سەربەست بیت. |
| ئاژار | ناڤێ مرۆڤان | ب ڕامانا ئەڤراز یان تشتێ بلند. |
| ئاسۆ | ناڤێ مرۆڤان | وێ هێلا کو ئەسمان و ئەرد لێ دگەهنە ئێک ل دەمێ ڕۆژهەلاتنێ. |
| ئاشتی | ناڤێ مرۆڤان | تەناهی و نەبوونا شەڕی، ژیانەکا بێدەنگ. |
| ئاڤا | ناڤێ مرۆڤان | تشتێ ئاڤەدان یان جھێ کو ژیان تێدا هەبیت. |
| ئاڤان | ناڤێ مرۆڤان | کۆما ئاڤان یان جهێ ئاڤێ. |
| ئاڤدار | ناڤێ مرۆڤان | تشتێ کو ئاڤ تێدا هەبیت یان پڕی ئاڤ بیت. |
| ئاڤرين | ناڤێ مرۆڤان | ژ باژێڕێ عەفرین هاتیە و ڕامانا وێ جهێ ب ئاڤە. |
| ئاڤيڤان | ناڤێ مرۆڤان | کەسێ کو ئاڤێ ددەت یان سەرپەرشتییا ئاڤێ دکەت. |
| ئاکام | ناڤێ مرۆڤان | دوماهیک یان ئەنجامێ هەر تشتەکی. |
| ئاگر | ناڤێ مرۆڤان | پێتا گەرم یا کو ژ سۆتنێ پەیدا دبیت و هێمایێ نەورۆزێ یە. |
| ئاگری | ناڤێ مرۆڤان | ناڤێ باژێڕ و چیایەکی یە ل باکوورێ کوردستانێ. |
| ئاگرین | ناڤێ مرۆڤان | تشتێ ب گەرماتی وەک ئاگری یان کەسێ زیرەک و چالاک. |
| ئاگەھ | ناڤێ مرۆڤان | ئاگاداربوون و هەبوونا زانیارییان ل سەر تشتەکی. |
| ئالا | ناڤێ مرۆڤان | پەڕچەکێ قوماشی یە کو نیشانا نەتەوەیەکی یان وەلاتەکی یە. |
| ئالان | ناڤێ مرۆڤان | ناڤەکێ کوردیێ کەڤنە ب ڕامانا دەڤەرەکا چیایی. |
| ئالین | ناڤێ مرۆڤان | ب ڕامانا ڕەنگێ ئال (سۆر) یان ڕەنگین. |
| ئامەد | ناڤێ مرۆڤان | ناڤێ کەڤن و ڕەسەن یێ باژێڕێ دیاربەکر. |
| ئاھەنگ | ناڤێ مرۆڤان | کەیفخۆشی، ڕێورەسمێن شادیکرنێ. |
| ئاھین | ناڤێ مرۆڤان | ئاخین و کێشانا هەناسەیەکا کوور ژ بەر خەمێ. |
| ئاواز | ناڤێ مرۆڤان | دەنگێ خوەشێ مۆسیقایێ یان سترانێ. |
| ئەرسەلان | ناڤێ مرۆڤان | ب ڕامانا شێر، یان کەسێ زیرەک و نەترس. |
| ئەژین | ناڤێ مرۆڤان | دیسا ژیان یان بەردەوامبوونا ژیانێ. |
| ئەڤراز | ناڤێ مرۆڤان | بلنداهی و ئەو ڕێکا کو دچیتە سەرڤە. |
| ئەڤین | ناڤێ مرۆڤان | حەزکرن و ڤیانا د ناڤبەرا دوو کەسان دا. |
| ئەلند | ناڤێ مرۆڤان | ئەو دەمێ سپێدێ یە کو تاریاتی ب دوماهی دهێت و ڕۆناهی پەیدا دبیت. |
| ئیمان | ناڤێ مرۆڤان | باوەرییا ب خودێ یان ب ئایینی. |
| ئێریڤان | ناڤێ مرۆڤان | ناڤێ باژێڕەکێ و وێستگەیەکا ڕادیۆیێ کو سترانێن کوردی لێ بەلاڤ دبوون. |
| باخان | ناڤێ مرۆڤان | کۆمکرنا باخ، کو ڕامانا باغچەیێن جوان ددەت. |
| بادین | ناڤێ مرۆڤان | ناڤێ میرنشین و دەڤەرەکا گرنگە ل بادینان. |
| بادینان | ناڤێ مرۆڤان | ناڤێ دەڤەرەکا مەزن و ڕەسەنە ل هەرێما کوردستانێ. |
| بارام | ناڤێ مرۆڤان | ناڤێ پاشایەکێ مێدی و ڕامانا وێ هەسارەیا مەریخێ یە. |
| باران | ناڤێ مرۆڤان | دلۆپێن ئاڤێ یێن کو ژ ئەوران دبارنە خوار. |
| بارزان | ناڤێ مرۆڤان | دەڤەرەکا چیایی و شۆڕشگێڕە د ناڤ کوردستانێ دا. |
| بارین | ناڤێ مرۆڤان | هاتنە خوارا بارانێ یان بەفرێ ژ ئەسمانی. |
| باگەڕ | ناڤێ مرۆڤان | بایێ ب هێز یێ کو تشتان ل گەل خوە دگەڕینیت. |
| باوەر | ناڤێ مرۆڤان | پشتڕاستبوون و باوەری هەبوون ب کەسەکی یان تشتەکی. |
| بایز | ناڤێ مرۆڤان | ناڤەکێ کوردییە، هەروەسا ناڤێ گەلەک شاعیرانە. |
| برادەر | ناڤێ مرۆڤان | هەڤال و دۆستێ نێزیک. |
| برۆسک | ناڤێ مرۆڤان | ڕووناهییا دژوار یا کو د دەمێ عەور و بارانێ دا پەیدا دبیت. |
| بریار | ناڤێ مرۆڤان | ئەنجام و گۆتنا دوماهیێ دەربارەی بابەتەکی. |
| بریندار | ناڤێ مرۆڤان | ئەو کەسێ کو برینەک ل لەشێ وی هەبیت. |
| بزاڤ | ناڤێ مرۆڤان | لڤین و خەباتکرن بۆ گەهشتن ب ئارمانجێ. |
| بژار | ناڤێ مرۆڤان | هەلبژارتن و دیتنا باشترین تشت ژ ناڤ کۆمەکێ. |
| بژى | ناڤێ مرۆڤان | پەیڤەکا هاندانێ یە ب ڕامانا سەرکەفتی بی یان ژیان بۆ تە بیت. |
| بسپۆر | ناڤێ مرۆڤان | کەسێ کو گەلەک شارەزا و لێهاتییە د بوارەکێ تایبەت دا. |
| بلند | ناڤێ مرۆڤان | تشتێ کو ل جھەکێ بەرز بیت یان کەسێ ب ڕێز و پلە. |
| بنار | ناڤێ مرۆڤان | جهێ ل بن چیایی کو دکەڤیتە دەستپێکا چیایی. |
| بناڤ | ناڤێ مرۆڤان | تشتێ ناڤدار و ب ناڤ و دەنگ. |
| بنیاد | ناڤێ مرۆڤان | بنیات و بنچینەیا دروستکرنا هەر تشتەکی. |
| بھا | ناڤێ مرۆڤان | نرخ و قەدرێ تشتەکی یان کەسەکی. |
| بھار | ناڤێ مرۆڤان | وەرزێ سێیەمێ سالێ کو سروشت تێدا شین و جوان دبیت. |
| بەختەوەر | ناڤێ مرۆڤان | کەسێ کو ژیانا وی خوش بیت و کەیفخۆش بیت. |
| بەختیار | ناڤێ مرۆڤان | کەسێ ب بەخت و کەیفخۆش. |
| بەراڤ | ناڤێ مرۆڤان | ئەو جهێ نێزیک ل ئاڤێ یان کەنارێ ڕووباری. |
| بەرزی | ناڤێ مرۆڤان | بلنداهی و پلەیا بەرز و مەزن. |
| بەرژەوەند | ناڤێ مرۆڤان | بەرژەوەندی و مفایێ کو د کارەکی دا هەی. |
| بەرفین | ناڤێ مرۆڤان | تشتێ وەک بەفرێ سپی و پاقژ. |
| بەرکار | ناڤێ مرۆڤان | تشتێ کو دبیتە ئەگەرێ بکارئینانێ. |
| بەرکەفت | ناڤێ مرۆڤان | تشتێ ب مفا و هێژا. |
| بەڕەڤان | ناڤێ مرۆڤان | ئەو کەسێ کو بەرگریێ دکەت ژ ماف یان جهەکی. |
| بەڕۆژ | ناڤێ مرۆڤان | ئەو جهێ کو ڕوویێ وێ ل ڕۆژێ یە و تیشکا ڕۆژێ لێ ددەت. |
| بەڕێز | ناڤێ مرۆڤان | کەسێ کو جهێ ڕێزگرتنێیە. |
| بەشدار | ناڤێ مرۆڤان | ئەو کەسێ کو پشکداریێ د کارەکی دا دکەت. |
| بەفرين | ناڤێ مرۆڤان | ژ بەفرێ هاتییە، ب ڕامانا کچا پاقژ و سپی وەک بەفرێ. |
| بەفرێ | ناڤێ مرۆڤان | ناڤێ کچەکە کو ژ سەقایێ بەفرێ و پاقژیێ هاتییە. |
| بەلێن | ناڤێ مرۆڤان | سۆز و پەیمان دان ب کەسەکی. |
| بەناز | ناڤێ مرۆڤان | کەسێ ب ناز و ب قەدر. |
| بەندەوار | ناڤێ مرۆڤان | چاڤەڕێکرن بۆ هاتنا تشتەکی یان کەسەکی. |
| بەنستان | ناڤێ مرۆڤان | جهێ ل بن چیایی کو ڕەز و باغ لێ بن. |
| بەنگین | ناڤێ مرۆڤان | کەسێ ئاشق و دلکەتی. |
